id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country
1;Larue;Tromp;MALE;"MUOE1@t(X.)%t";526-749-7975;online motivating Group;Home;East Alex;New Zealand
2;Hermina;Bernier;FEMALE;"!@!*%:.V";(706) 243-0499;Zimbabwe;magenta purple;Lake Valentinamouth;Angola
3;Arnoldo;Murphy;FEMALE;"~vc@n&zn)E.-lM";930-895-5686 x3017;circuit Loaf;Dale Arkansas;New Virgil;Paraguay
4;Fernando;Kohler;OTHER;"y^`}Wo@ibN.l\.n";(341) 377-8937;Assurance Technician ADP;deposit;Boehmhaven;Congo
5;Cassidy;Mitchell;FEMALE;"n{Md)@MWsNU<.7ovyJ";(907) 535-8491;bypass;Clothing Michigan;Kozeyland;Kyrgyz Republic
6;Koby;Kunde;FEMALE;"=I0@oUiMZ?.L1zU";1-904-816-0377 x34924;Multi-lateral;Towels program;Odessa;Tanzania
7;Pearl;Torp;OTHER;"qw/tj5@]l\.JbP{1";(653) 624-6458 x190;ability Vermont;real-time;South Brennonton;Netherlands Antilles
8;Wilmer;O'Kon;MALE;"5HJK@'.haW";962.715.6372 x99324;Shoes transmit mobile;transmitting;Sofiaburgh;Saint Pierre and Miquelon
9;Kelvin;Muller;OTHER;"Tz@zL_[.u";1-460-814-1931;web;Mauritania;New Haven;Australia
10;Horace;Macejkovic;MALE;"O%@-B#3|.\Y";574-278-2856;Car Sausages;deposit hierarchy;Bayleeview;Malta
